['Address', 'Name', 'SUPER ID'],
['קיבוץ ברור חיל, קיבוץ ברור חיל', 'Dor Alon', 1], 
['unknown, unknown', 'Dor Alon', 1], 
['מושב נהלל, מושב נהלל', 'Dor Alon', 1], 
['מושב סגולה, קיבוץ סגולה', 'Dor Alon', 1], 
['תל אביב, לינקולן 9', 'Dor Alon', 1], 
['מושב נווה ירק, מושב נווה ירק', 'Dor Alon', 1], 
['מושב מגשים, קיבוץ מגדים', 'Dor Alon', 1], 
['קיבוץ מעוז חיים, קיבוץ מעוז חיים', 'Dor Alon', 1], 
['רמת השרון, סוקולוב 11', 'Dor Alon', 1], 
['גשר הזיו, אמצע כביש נהריה ראש הנקרה -מס 4', 'Dor Alon', 1], 
['תל אביב, נחלת יצחק', 'Dor Alon', 1], 
['תל אביב, זבוטינסקי 86', 'Dor Alon', 1], 
['מושב מכמורת, מושב מכמורת', 'Dor Alon', 1], 
['קיבוץ בית אורן, קיבוץ בית אורן', 'Dor Alon', 1], 
['תל אביב, הרוגי המלכות 9 שיכון דן', 'Dor Alon', 1], 
['תל אביב, דיזנגוף 136', 'Dor Alon', 1], 
['תל אביב, שד שאול המלך 41', 'Dor Alon', 1], 
['unknown, קיבוץ עינת ליד ראש העין', 'Dor Alon', 1], 
['עין שמר, צומת כרכור ליד פרדס חנה כביש 65', 'Dor Alon', 1], 
['תל אביב, אבן גבירול 91', 'Dor Alon', 1], 
['מושב נורדיה, מושב נורדיה', 'Dor Alon', 1], 
['קיבוץ העוגן, קיבוץ העוגן', 'Dor Alon', 1], 
['מושב אחוזת ברק, מושב אחוזת ברק', 'Dor Alon', 1], 
['תל אביב, שד יהודית 16', 'Dor Alon', 1], 
['תל אביב, שנקין 59', 'Dor Alon', 1], 
['תל אביב, בוגרשוב 49', 'Dor Alon', 1], 
['תל אביב, אבן גבירול 136', 'Dor Alon', 1], 
['קיבוץ דגניה, קיבות דגניה', 'Dor Alon', 1], 
['תל אביב, פרנקל 15', 'Dor Alon', 1], 
['קיבוץ גונן, קיבוץ גונן', 'Dor Alon', 1], 
['תל אביב, שנקין 24', 'Dor Alon', 1], 
['תל אביב, אחד העם 9', 'Dor Alon', 1], 
['גבעתיים, עליית הנוער 27', 'Dor Alon', 1], 
['תל אביב, וינשל 6', 'Dor Alon', 1], 
['נס ציונה, השייטת 4', 'Dor Alon', 1], 
['תל אביב, אבן גבירול 14', 'Dor Alon', 1], 
['unknown, צומת צמח מרכז מסחרי', 'Dor Alon', 1], 
['תל אביב, יצחק שדה 35', 'Dor Alon', 1], 
['מושב לכיש, מושב לכיש', 'Dor Alon', 1], 
['קיבוץ הגושרים, קיבוץ הגושרים', 'Dor Alon', 1], 
['מושב חגור, מושב חגור', 'Dor Alon', 1], 
['צריפין, צריפין', 'Dor Alon', 1], 
['מושב גבע כרמל, קיבוץ גבע כרמל', 'Dor Alon', 1], 
['תל אביב, סלומון 24', 'Dor Alon', 1], 
['תל אביב, החשמל 11', 'Dor Alon', 1], 
['תל אביב, ברודצקי 15', 'Dor Alon', 1], 
['מושב צור משה, מושב צור משה', 'Dor Alon', 1], 
['Address', 'Name', 'SUPER ID'],
['חולון, המרכבה 31', 'כל בו חצי חינם', 2], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 2], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 2], 
['חולון, המרכבה 31', 'כל בו חצי חינם', 2], 
['חולון, הכישור 22', 'כל בו חצי חינם', 2], 
['ראשון לציון, לוי משה 8', 'כל בו חצי חינם', 2], 
['Address', 'Name', 'SUPER ID'],
['חולון, המרכבה 31', 'כל בו חצי חינם', 3], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 3], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 3], 
['חולון, המרכבה 31', 'כל בו חצי חינם', 3], 
['חולון, הכישור 22', 'כל בו חצי חינם', 3], 
['ראשון לציון, לוי משה 8', 'כל בו חצי חינם', 3], 
['Address', 'Name', 'SUPER ID'],
['חולון, המרכבה 31', 'כל בו חצי חינם', 4], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 4], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 4], 
['חולון, המרכבה 31', 'כל בו חצי חינם', 4], 
['חולון, הכישור 22', 'כל בו חצי חינם', 4], 
['ראשון לציון, לוי משה 8', 'כל בו חצי חינם', 4], 
['Address', 'Name', 'SUPER ID'],
['חולון, המרכבה 31', 'כל בו חצי חינם', 5], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 5], 
['ראשון לציון, הלח"י 16', 'כל בו חצי חינם', 5], 
['חולון, המרכבה 31', 'כל בו חצי חינם', 5], 
['חולון, הכישור 22', 'כל בו חצי חינם', 5], 
['ראשון לציון, לוי משה 8', 'כל בו חצי חינם', 5], 
['Address', 'Name', 'SUPER ID'],
['unknown, unknown', 'מ. יוחננוף ובניו', 6], 
['unknown, unknown', 'מ. יוחננוף ובניו', 6], 
['unknown, unknown', 'מ. יוחננוף ובניו', 6], 
['unknown, unknown', 'מ. יוחננוף ובניו', 6], 
['unknown, unknown', 'מ. יוחננוף ובניו', 6], 
['unknown, unknown', 'מ. יוחננוף ובניו', 6], 
